date,AK,AL,AR,AS,AZ,CA,CO,CT,DC,DE,FL,GA,GU,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MP,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,PR,RI,SC,SD,TN,TX,UT,VA,VI,VT,WA,WI,WV,WY
2021-01-29,4073.3076923076924,13399.470588235294,7661.421052631579,0.0,93690.4375,108130.05,12141.430769230768,55469.333333333336,36538.0,38910.25,49451.17647058824,12689.608695652174,7579.0,8653.333333333334,5829.16,7204.488888888889,21783.300970873788,13497.408602150537,5210.452830188679,5955.380165289256,12217.492307692308,67163.0,28057.36,4565.35294117647,14465.559523809523,10444.272727272728,7882.577586206897,87.66666666666667,6570.168674698795,3273.122807017544,14789.910891089108,3609.537037037037,4045.808510638298,11695.09090909091,62425.72727272727,10164.588235294117,30710.333333333332,50850.0,19968.325842696628,9850.576923076924,7635.459459459459,24616.70588235294,2725.2025316455697,36080.666666666664,18537.574468085106,3222.5373134328356,14771.010416666666,18340.57254901961,22890.433333333334,7431.522388059701,1199.0,1553.8666666666666,15546.05,16147.506849315068,4266.678571428572,4307.5
2021-01-30,4083.730769230769,13399.470588235294,7709.065789473684,0.0,94337.875,108767.9,12171.323076923078,55469.333333333336,36767.0,39197.25,49887.44117647059,12781.031055900621,7586.0,8690.666666666666,5849.8,7224.822222222222,21847.776699029127,13534.559139784946,5210.452830188679,6001.157024793389,12217.492307692308,67700.4,28225.12,4607.588235294118,14499.654761904761,10468.636363636364,7900.853448275862,87.66666666666667,6606.987951807229,3290.438596491228,14857.178217821782,3613.3888888888887,4065.308510638298,11789.272727272728,62905.13636363636,10208.176470588236,30827.555555555555,51245.8125,20062.494382022473,9910.858974358975,7679.621621621622,24761.147058823528,2735.9367088607596,36197.333333333336,18714.255319148935,3225.9701492537315,14814.927083333334,18469.98431372549,22987.3,7495.835820895522,1199.0,1576.9333333333334,15631.225,16191.698630136987,4297.857142857143,4308.666666666667
2021-01-31,4091.3076923076924,13518.79411764706,7731.960526315789,0.0,94811.25,109283.4,12204.876923076923,55469.333333333336,36940.0,39435.25,50113.75,12831.242236024846,7587.0,8717.333333333334,5859.01,7232.111111111111,21893.699029126212,13561.182795698925,5210.547169811321,6030.966942148761,12320.446153846155,68046.26666666666,28364.88,4626.235294117647,14500.464285714286,10490.943181818182,7915.103448275862,87.66666666666667,6626.530120481928,3296.6666666666665,15006.772277227723,3615.9074074074074,4068.8936170212764,11851.636363636364,63293.59090909091,10238.970588235294,30930.833333333332,51595.125,20130.157303370786,9984.74358974359,7698.189189189189,24874.529411764706,2741.3417721518986,36292.166666666664,18867.489361702126,3231.3432835820895,14871.84375,18563.105882352942,23059.333333333332,7534.014925373134,1199.0,1594.5333333333333,15684.15,16223.013698630137,4321.464285714285,4326.0
2021-02-01,4099.384615384615,13554.70588235294,7764.144736842105,0.0,95287.6875,109689.8,12253.030769230769,56341.77777777778,37073.0,39594.75,50280.30882352941,12876.714285714286,7608.0,8746.333333333334,5870.29,7243.866666666667,21940.04854368932,13608.193548387097,5247.688679245283,6058.925619834711,12350.061538461538,68357.26666666666,28457.92,4651.823529411765,14562.309523809523,10507.420454545454,7935.646551724138,87.66666666666667,6643.518072289156,3302.035087719298,15095.643564356436,3617.8333333333335,4075.127659574468,11916.181818181818,63610.86363636364,10267.617647058823,31020.777777777777,51826.09375,20204.022471910113,10020.5,7724.027027027027,24970.426470588234,2756.5822784810125,36333.666666666664,18975.14893617021,3233.283582089552,14909.625,18841.54117647059,23106.6,7576.7164179104475,1210.5,1610.4666666666667,15732.5,16244.410958904109,4336.607142857143,4338.083333333333
2021-02-02,4111.615384615385,13615.823529411764,7804.776315789473,0.0,95720.5,110044.28333333334,12282.784615384615,56911.22222222222,37168.5,39717.0,50587.19117647059,12949.130434782608,7610.0,8767.333333333334,5885.73,7265.466666666666,21986.485436893203,13646.10752688172,5249.075471698113,6098.190082644628,12430.338461538462,68639.4,28530.32,4701.117647058823,14596.654761904761,10521.170454545454,7956.318965517241,88.66666666666667,6663.3975903614455,3313.0526315789475,15154.514851485148,3622.1296296296296,4085.0,11974.09090909091,63902.36363636364,10293.058823529413,31110.11111111111,52100.40625,20286.20224719101,10053.75641025641,7766.243243243243,25098.558823529413,2763.8354430379745,36372.833333333336,19059.744680851065,3236.7462686567164,14952.604166666666,19003.37254901961,23186.566666666666,7617.611940298508,1213.0,1625.6,15807.55,16279.917808219177,4354.821428571428,4344.0
2021-02-03,4126.2692307692305,13678.117647058823,7868.513157894737,0.0,96042.25,110485.86666666667,12323.353846153846,57018.11111111111,37282.0,39853.25,50788.19117647059,13021.57142857143,7618.0,8791.0,5905.09,7286.955555555555,22051.14563106796,13682.89247311828,5290.38679245283,6134.652892561983,12493.107692307693,68948.86666666667,28605.72,4732.882352941177,14636.869047619048,10535.568181818182,7979.258620689655,88.66666666666667,6682.457831325301,3328.0701754385964,15379.980198019803,3627.259259259259,4097.553191489362,12036.363636363636,64114.454545454544,10332.470588235294,31196.777777777777,52405.984375,20375.887640449437,10108.038461538461,7799.540540540541,25190.602941176472,2767.240506329114,37141.0,19182.72340425532,3242.955223880597,14989.385416666666,19142.917647058825,23291.166666666668,7661.776119402985,1215.0,1643.3333333333333,15879.85,16322.082191780823,4373.928571428572,4357.333333333333
2021-02-04,4139.5,13759.5,7932.973684210527,0.0,96589.5,110957.3,12373.276923076923,57225.444444444445,37499.5,40005.25,51025.5,13104.869565217392,7622.0,8825.5,5921.17,7307.977777777778,22115.533980582524,13728.075268817205,5291.188679245283,6180.6859504132235,12578.046153846153,69309.33333333333,28730.04,4768.529411764706,14695.833333333334,10567.5,8004.025862068966,88.66666666666667,6711.614457831325,3338.6315789473683,15498.782178217822,3630.8888888888887,4108.095744680851,12110.181818181818,64414.454545454544,10365.35294117647,31298.666666666668,52743.40625,20468.47191011236,10179.679487179486,7835.864864864865,25290.426470588234,2775.3037974683543,37238.833333333336,19313.957446808512,3248.1492537313434,15053.291666666666,19256.070588235296,23370.5,7707.432835820896,1217.5,1666.5333333333333,15955.85,16369.17808219178,4394.428571428572,4372.333333333333
2021-02-05,4153.846153846154,13803.5,7980.539473684211,0.0,97041.25,111373.6,12429.446153846155,57542.88888888889,37755.5,40228.25,51359.30882352941,13172.068322981366,7636.0,8867.0,5933.45,7324.955555555555,22186.21359223301,13759.838709677419,5340.7169811320755,6219.371900826446,12604.76923076923,69725.6,28853.84,4799.823529411765,14736.869047619048,10591.011363636364,8030.793103448276,88.66666666666667,6740.77108433735,3350.8245614035086,15602.623762376237,3633.1481481481483,4118.702127659574,12196.727272727272,64800.13636363636,10399.588235294117,31399.61111111111,53086.953125,20551.23595505618,10248.705128205129,7877.216216216216,25429.058823529413,2777.5696202531644,37338.833333333336,19573.36170212766,3252.0597014925374,15106.729166666666,19369.286274509803,23455.0,7783.089552238806,1224.5,1681.0666666666666,16030.3,16408.27397260274,4415.75,4381.333333333333
2021-02-06,4162.0,13862.088235294117,8015.6578947368425,0.0,97455.8125,111874.83333333333,12474.338461538462,57542.88888888889,37956.0,40424.75,51577.39705882353,13235.372670807454,7643.0,8902.166666666666,5941.53,7338.4,22244.980582524273,13801.90322580645,5340.7169811320755,6251.471074380165,12604.76923076923,70193.53333333334,28973.88,4831.058823529412,14763.666666666666,10614.0,8045.517241379311,88.66666666666667,6765.734939759036,3359.122807017544,15684.544554455446,3633.5555555555557,4125.989361702128,12280.818181818182,65209.77272727273,10424.14705882353,31491.666666666668,53451.234375,20630.988764044945,10301.641025641025,7915.648648648648,25544.691176470587,2784.8607594936707,37443.833333333336,19701.31914893617,3257.6716417910447,15167.40625,19457.117647058825,23531.466666666667,7853.373134328358,1224.5,1701.6,16077.975,16438.794520547945,4435.357142857143,4384.833333333333
2021-02-07,4165.2692307692305,13894.79411764706,8033.8026315789475,0.0,97594.3125,112226.11666666667,12507.538461538461,57542.88888888889,38085.5,40705.5,51769.882352941175,13285.944099378881,7649.0,8926.833333333334,5948.81,7343.733333333334,22284.349514563106,13827.78494623656,5340.773584905661,6273.231404958678,12664.76923076923,70599.86666666667,29099.16,4849.176470588235,14764.285714285714,10634.488636363636,8055.956896551724,88.66666666666667,6787.421686746988,3361.4561403508774,15774.069306930693,3635.3703703703704,4132.223404255319,12341.272727272728,65603.54545454546,10444.264705882353,31565.5,53733.390625,20679.03370786517,10357.52564102564,7942.243243243243,25674.676470588234,2796.8354430379745,37505.833333333336,19845.659574468085,3260.5671641791046,15208.927083333334,19513.956862745097,23588.3,7897.388059701492,1233.0,1719.4666666666667,16102.325,16459.780821917808,4453.857142857143,4385.583333333333
2021-02-08,4187.884615384615,13922.0,8050.828947368421,0.0,97882.25,112503.65,12539.523076923077,58510.333333333336,38208.5,40861.5,51936.470588235294,13324.552795031055,7664.0,8937.166666666666,5958.26,7356.333333333333,22319.97087378641,13859.043010752688,5367.792452830188,6293.6859504132235,12700.953846153847,70776.46666666666,29171.4,4872.470588235294,14816.07142857143,10647.15909090909,8071.362068965517,88.66666666666667,6802.722891566265,3366.7894736842104,15833.247524752474,3636.4444444444443,4135.989361702128,12361.90909090909,65835.18181818182,10462.764705882353,31626.055555555555,54064.84375,20722.314606741573,10384.02564102564,7960.5675675675675,25757.41176470588,2804.974683544304,37541.0,19932.042553191488,3262.179104477612,15246.708333333334,19585.988235294117,23630.966666666667,7922.761194029851,1233.0,1738.9333333333334,16169.275,16476.465753424658,4468.071428571428,4398.666666666667
2021-02-09,4199.153846153846,13960.764705882353,8089.289473684211,0.0,98488.0,112786.41666666667,12567.107692307693,58702.444444444445,38314.5,40997.75,52141.382352941175,13378.67701863354,7673.0,8947.0,5971.63,7375.533333333334,22360.31067961165,13887.118279569893,5368.169811320755,6331.231404958678,12742.923076923076,70971.13333333333,29249.48,4897.64705882353,14837.107142857143,10660.272727272728,8083.310344827586,88.66666666666667,6818.530120481928,3379.9824561403507,15900.990099009901,3636.1111111111113,4143.585106382979,12435.90909090909,66161.36363636363,10487.058823529413,31684.11111111111,54359.40625,20794.38202247191,10411.435897435897,7982.459459459459,25881.147058823528,2811.0632911392404,37596.0,20013.23404255319,3265.820895522388,15278.53125,19690.149019607845,23693.566666666666,7971.880597014925,1239.5,1746.8,16265.275,16500.164383561645,4482.928571428572,4402.5
2021-02-10,4211.846153846154,14001.970588235294,8117.894736842105,0.0,98719.75,113074.86666666667,12589.923076923076,58899.11111111111,38440.5,41173.0,52361.05882352941,13427.409937888198,7683.0,8964.333333333334,5987.6,7394.466666666666,22415.504854368934,13916.118279569893,5403.8490566037735,6364.256198347108,12753.2,71234.13333333333,29340.44,4927.411764705882,14867.738095238095,10675.102272727272,8101.293103448276,88.66666666666667,6837.421686746988,3390.754385964912,15974.772277227723,3637.5555555555557,4153.829787234043,12499.90909090909,66559.63636363637,10517.058823529413,31759.11111111111,54647.5625,20868.112359550563,10454.128205128205,8011.0,25976.558823529413,2813.3670886075947,38168.833333333336,20133.617021276597,3271.044776119403,15337.270833333334,19792.035294117646,23779.866666666665,8019.686567164179,1242.5,1749.0666666666666,16306.775,16527.561643835616,4498.25,4406.166666666667
2021-02-11,4222.653846153846,14046.176470588236,8147.0,0.0,98987.5625,113412.15,12641.23076923077,59122.22222222222,38601.5,41373.5,52609.205882352944,13486.962732919255,7686.0,8993.5,5997.24,7412.866666666667,22470.174757281555,13949.21505376344,5404.688679245283,6394.793388429752,12837.138461538461,71546.26666666666,29436.36,4948.0,14903.166666666666,10695.318181818182,8119.689655172414,88.66666666666667,6859.373493975903,3399.6491228070176,16065.554455445545,3642.703703703704,4161.468085106383,12567.90909090909,66892.59090909091,10548.411764705883,31827.833333333332,54988.578125,20931.16853932584,10497.294871794871,8042.081081081081,26093.66176470588,2817.0,38250.166666666664,20267.531914893618,3279.373134328358,15396.40625,19885.235294117647,23859.6,8074.895522388059,1252.5,1765.9333333333334,16346.9,16566.657534246577,4515.0,4414.916666666667
2021-02-12,4232.038461538462,14078.441176470587,8163.065789473684,0.0,99234.75,113728.56666666667,12706.846153846154,59307.77777777778,38733.0,41576.75,52830.529411764706,13542.310559006211,7689.0,9022.0,6013.66,7427.2444444444445,22520.747572815533,13977.709677419354,5427.471698113208,6421.157024793389,12873.138461538461,71854.26666666666,29525.32,4971.64705882353,14938.154761904761,10719.21590909091,8136.25,89.33333333333333,6883.084337349397,3407.40350877193,16146.594059405941,3646.8888888888887,4171.287234042553,12650.272727272728,67232.22727272728,10572.0,31895.222222222223,55289.1875,21005.43820224719,10533.666666666666,8071.8378378378375,26200.220588235294,2824.1139240506327,38323.5,20432.212765957447,3285.6119402985073,15450.572916666666,19982.439215686274,23932.7,8122.522388059701,1262.25,1788.1333333333334,16414.65,16596.84931506849,4531.678571428572,4423.833333333333
